title,year,decade,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings_source,ratings_value,metascore,imdbrating,imdbvotes,imdbid,dvd,boxoffice,production,website,response,tomatourl
Hardball,2001,2000,PG-13,14 Sep 2001,106 min,"Drama, Sport",Brian Robbins,"Daniel Coyle (book), John Gatins (screenplay)","Keanu Reeves, Diane Lane, John Hawkes, Bryan Hearne","An aimless young man who is scalping tickets, gambling and drinking, agrees to coach a Little League team from the Cabrini Green housing project in Chicago as a condition of getting a loan from a friend.","English, German","USA, Germany",2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjY3Nzk0NzkxMF5BMl5BanBnXkFtZTgwMTYxNzYxMTE@._V1_SX300.jpg,Internet Movie Database,6.4/10,48,6.4,"23,689",tt0180734,19 Feb 2002,"$39,697,363",Paramount Pictures,http://www.hardballmovie.com,True,http://www.rottentomatoes.com/m/hardball/
Outside Providence,1999,1990,R,01 Sep 1999,96 min,"Comedy, Drama, Romance",Michael Corrente,"Peter Farrelly (screenplay), Michael Corrente (screenplay), Bobby Farrelly (screenplay), Peter Farrelly (novel)","Shawn Hatosy, Tommy Bone, Samantha Lavigne, Jonathan Brandis","After one too many run ins with the law, a punk teenager from a working class background is sent to prep school by his frustrated dad, and learns a thing or two.",English,USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyODE2NjA0Nl5BMl5BanBnXkFtZTcwNzIzODgxMQ@@._V1_SX300.jpg,Internet Movie Database,6.4/10,62,6.4,"7,826",tt0125971,02 Oct 2001,N/A,Miramax,http://www.outsideprovidence.com,True,http://www.rottentomatoes.com/m/outside_providence/
She's Out of My League,2010,2010,R,12 Mar 2010,104 min,"Comedy, Romance",Jim Field Smith,"Sean Anders, John Morris","Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel","An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.","English, Ukrainian",USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwMTY5ODA1MF5BMl5BanBnXkFtZTcwODYyNzAxMw@@._V1_SX300.jpg,Internet Movie Database,6.4/10,46,6.4,"106,254",tt0815236,22 Jun 2010,"$28,712,974",Paramount,http://www.hard10movie.com/,True,http://www.rottentomatoes.com/m/shes_out_of_my_league/
Stick It,2006,2000,PG-13,28 Apr 2006,103 min,"Comedy, Drama, Sport",Jessica Bendinger,Jessica Bendinger,"Jeff Bridges, Missy Peregrym, Vanessa Lengies, Nikki SooHoo","After a run-in with the law, Haley Graham (Missy Peregrym) is forced to return to the world from which she fled some years ago. Enrolled in an elite gymnastics program run by the legendary Burt Vickerman (Jeff Bridges), Haley's rebellious attitude gives way to something that just might be called team spirit.",English,"Germany, USA",N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MDAzMDgzMF5BMl5BanBnXkFtZTcwNzc1ODQzMQ@@._V1_SX300.jpg,Internet Movie Database,6.4/10,53,6.4,"23,489",tt0430634,19 Sep 2006,"$26,870,825",Buena Vista,http://www.stickitmovie.com,True,http://www.rottentomatoes.com/m/stick_it/
The Oogieloves in the Big Balloon Adventure,2012,2010,G,29 Aug 2012,88 min,"Adventure, Family, Fantasy",Matthew Diamond,"Alex Greene (based on characters by), Scott Stabile, Carol Sweeney (based on characters by), Kenn Viselman (creator)","Jaime Pressly, Cloris Leachman, Cary Elwes, Christopher Lloyd","The Oogieloves -- Goobie, Zoozie and Toofie -- set out to find five magical balloons that will make their good friend Schluufy's surprise birthday party extra-special.",English,USA,2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0ODM0MzA0OV5BMl5BanBnXkFtZTcwODUyODc3Nw@@._V1_SX300.jpg,Internet Movie Database,6.4/10,32,6.4,"14,350",tt1520498,04 Feb 2013,"$1,064,277",Big Balloon Adventure Movies,http://www.oogieloves.com/,True,http://www.rottentomatoes.com/m/the_oogieloves_in_the_big_balloon_adventure/
Pooh's Heffalump Movie,2005,2000,G,11 Feb 2005,68 min,"Animation, Comedy, Family",Frank Nissen,"Brian Hohlfeld (screenplay), Evan Spiliotopoulos (screenplay), A.A. Milne (characters)","Jim Cummings, John Fiedler, Nikita Hopkins, Kath Soucie","A heffalump is heard trumpeting in the hundred acre woods. Winnie the Pooh, Tigger, and Piglet are scared and rush to Rabbit's house for advice. Roo joins them and they all agree that ...",English,USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyOTk5MDM4N15BMl5BanBnXkFtZTcwMTM0NDcyMQ@@._V1_SX300.jpg,Internet Movie Database,6.4/10,64,6.4,"4,582",tt0407121,24 May 2005,"$18,013,938",Buena Vista,http://disney.go.com/disneypictures/heffalump/main.html,True,http://www.rottentomatoes.com/m/poohs_heffalump_movie/
Shopgirl,2005,2000,R,04 Nov 2005,106 min,"Drama, Romance",Anand Tucker,"Steve Martin (novel), Steve Martin (screenplay)","Steve Martin, Claire Danes, Jason Schwartzman, Bridgette Wilson-Sampras","A film adaptation of Steve Martin's novel about a complex love triangle between a bored salesgirl, a wealthy businessman and an aimless young man.","English, Japanese",USA,1 win & 7 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2MTM5NjIyOV5BMl5BanBnXkFtZTcwOTg3NDAzMQ@@._V1_SX300.jpg,Internet Movie Database,6.4/10,62,6.4,"21,710",tt0338427,25 Apr 2006,"$10,082,747",Touchstone Pictures,http://shopgirl.movies.go.com/,True,http://www.rottentomatoes.com/m/shopgirl/
Be Kind Rewind,2008,2000,PG-13,22 Feb 2008,102 min,Comedy,Michel Gondry,Michel Gondry,"Jack Black, Yasiin Bey, Danny Glover, Mia Farrow","Two bumbling store clerks inadvertently erase the footage from all of the tapes in their video rental store. In order to keep the business running, they re-shoot every film in the store with their own camera, with a budget of zero dollars.",English,"UK, France, USA",4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4MjY2MTU2MV5BMl5BanBnXkFtZTYwNjUzODc4._V1_SX300.jpg,Internet Movie Database,6.4/10,52,6.4,"81,979",tt0799934,10 Jun 2008,"$11,200,000",New Line Cinema,http://www.bekindmovie.com/,True,http://www.rottentomatoes.com/m/be_kind_rewind/
Bandslam,2009,2000,PG,14 Aug 2009,111 min,"Comedy, Drama, Family",Todd Graff,"Josh A. Cagan (screenplay), Todd Graff (screenplay), Josh A. Cagan (story)","Aly Michalka, Vanessa Hudgens, Gaelan Connell, Scott Porter","A new kid in town assembles a fledgling rock band -- together, they achieve their dreams and compete against the best in the biggest event of the year, a battle of the bands.",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0MDI4MTIzMV5BMl5BanBnXkFtZTcwMDU5MjI2Mg@@._V1_SX300.jpg,Internet Movie Database,6.4/10,66,6.4,"12,450",tt0976222,16 Mar 2010,"$5,205,343",Summit Entertainment,http://bandslam-movie.com/,True,http://www.rottentomatoes.com/m/bandslam/
The Yards,2000,2000,R,27 Oct 2000,115 min,"Crime, Drama, Romance",James Gray,"James Gray, Matt Reeves","Mark Wahlberg, Joaquin Phoenix, Charlize Theron, James Caan","In the rail yards of Queens, contractors repair and rebuild the city's subway cars. These contracts are lucrative, so graft and corruption are rife. When Leo Handler gets out of prison, he ...","English, Spanish",USA,3 wins & 2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4MDA1MTA4Nl5BMl5BanBnXkFtZTcwMDM2MTUzMQ@@._V1_SX300.jpg,Internet Movie Database,6.4/10,58,6.4,"16,819",tt0138946,10 Apr 2001,N/A,Miramax Films,http://www.theyardsmovie.com,True,http://www.rottentomatoes.com/m/yards/
Rapa Nui,1994,1990,R,09 Sep 1994,107 min,"Action, Adventure, Drama",Kevin Reynolds,"Kevin Reynolds (story), Tim Rose Price (screenplay), Kevin Reynolds (screenplay)","Jason Scott Lee, Esai Morales, Sandrine Holt, Eru Potaka Dewes","Tenuously based on the legends of Easter Island, Chile, this story details a civil war between the two tribes on the island: the Long Ears and the Short Ears. A warrior from the ruling ...",English,USA,1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BNzcyNWZhZTYtZmI4ZC00ZjgzLWIwYzEtZWNlOTQ2YmJhMzgyXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,Internet Movie Database,6.4/10,N/A,6.4,"4,021",tt0110944,N/A,N/A,Warner Home Video,N/A,True,http://www.rottentomatoes.com/m/rapanui/
10th & Wolf,2006,2000,R,12 Apr 2007,107 min,"Crime, Drama, Thriller",Robert Moresco,"Robert Moresco, Allan Steele","James Marsden, Giovanni Ribisi, Brad Renfro, Piper Perabo","A former street tough returns to his Philadelphia home after a stint in the military. Back on his home turf, he once again finds himself tangling with the mob boss who was instrumental in his going off to be a soldier.","English, Italian",USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1NDE0Nzk3MV5BMl5BanBnXkFtZTcwMjE3ODQzMQ@@._V1_SX300.jpg,Internet Movie Database,6.4/10,36,6.4,"5,682",tt0360323,19 Sep 2006,N/A,ThinkFilm,http://www.10thandwolf.com,True,http://www.rottentomatoes.com/m/10th_and_wolf/
The Frozen Ground,2013,2010,R,11 Jul 2013,105 min,"Crime, Drama, Mystery",Scott Walker,Scott Walker,"Nicolas Cage, Vanessa Hudgens, John Cusack, Dean Norris",An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.,"English, French",USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0MjAyMjIxMl5BMl5BanBnXkFtZTcwNTQ1NDc2OQ@@._V1_SX300.jpg,Internet Movie Database,6.4/10,37,6.4,"46,379",tt2005374,01 Oct 2013,"$89,515",The Film Arcade,https://www.facebook.com/TheFrozenGroundMovie,True,http://www.rottentomatoes.com/m/the_frozen_ground/
Brooklyn Rules,2007,2000,R,28 May 2009,99 min,"Crime, Drama",Michael Corrente,Terence Winter,"Paulo Araujo, Daniel Tay, Ty Thomas Reed, Brian O'Neill","Brooklyn, 1985. With the mob world as a backdrop, three life-long friends struggle with questions of love, loss and loyalty.",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3MTAwNDk0N15BMl5BanBnXkFtZTcwOTM0MzA1MQ@@._V1_SX300.jpg,Internet Movie Database,6.4/10,53,6.4,"5,160",tt0283503,18 Sep 2007,"$241,925",City Lights Pictures,http://www.brooklynrulesmovie.com,True,http://www.rottentomatoes.com/m/brooklyn_rules/
Won't Back Down,2012,2010,PG,28 Sep 2012,121 min,Drama,Daniel Barnz,"Brin Hill, Daniel Barnz","Maggie Gyllenhaal, Viola Davis, Oscar Isaac, Holly Hunter","Two determined mothers­, one a teacher, look to transform their children's failing inner city school. Facing a powerful and entrenched bureaucracy, they risk everything to make a difference in the education and future of their children.",English,USA,1 win & 3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2NzUyMzYxOF5BMl5BanBnXkFtZTcwOTc4NzY5Nw@@._V1_SX300.jpg,Internet Movie Database,6.4/10,42,6.4,"5,423",tt1870529,15 Jan 2013,"$5,308,553",20th Century Fox,http://wbdtoolkit.com/,True,http://www.rottentomatoes.com/m/wont_back_down_2012/
The Invention of Lying,2009,2000,PG-13,02 Oct 2009,100 min,"Comedy, Fantasy, Romance","Ricky Gervais, Matthew Robinson","Ricky Gervais, Matthew Robinson","Ricky Gervais, Jennifer Garner, Jonah Hill, Louis C.K.","A comedy set in a world where no one has ever lied, until a writer seizes the opportunity for personal gain.",English,USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2OTQzOTc1Nl5BMl5BanBnXkFtZTcwNDM5MDE4Mg@@._V1_SX300.jpg,Internet Movie Database,6.4/10,58,6.4,"98,302",tt1058017,19 Jan 2010,"$18,439,082",Warner Bros. Pictures,http://the-invention-of-lying.warnerbros.com/,True,http://www.rottentomatoes.com/m/invention_of_lying/
New Nightmare,1994,1990,R,14 Oct 1994,112 min,"Fantasy, Horror, Mystery",Wes Craven,"Wes Craven (characters), Wes Craven","Jeff Davis, Heather Langenkamp, Miko Hughes, Matt Winston",A demonic force has chosen Freddy Krueger as its portal to the real world. Can Heather play the part of Nancy one last time and trap the evil trying to enter our world?,English,USA,1 win & 5 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BM2RmMWIyZDgtY2I4ZS00ZjgwLTlmZTYtY2E2ZmI1Y2IzOGQ4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Internet Movie Database,6.4/10,N/A,6.4,"40,637",tt0111686,21 Aug 2001,N/A,Turner Home Entertainment,N/A,True,http://www.rottentomatoes.com/m/wes_cravens_new_nightmare/
Anything Else,2003,2000,R,19 Sep 2003,108 min,"Comedy, Romance",Woody Allen,Woody Allen,"Woody Allen, Jason Biggs, Fisher Stevens, Anthony Arkin","Jerry Falk learns a lesson the hard way when he falls head over heels in love with a beautiful but flighty girl, Amanda.","English, Latin","USA, France, UK",N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BNjkyNjYyMzAzNV5BMl5BanBnXkFtZTYwMTMxNDU3._V1_SX300.jpg,Internet Movie Database,6.4/10,43,6.4,"26,248",tt0313792,23 Dec 2003,"$3,135,535",DreamWorks SKG,http://www.anythingelse-themovie.com/,True,http://www.rottentomatoes.com/m/anything_else/
The City of Your Final Destination,2009,2000,PG-13,24 Jun 2010,117 min,"Drama, Romance",James Ivory,"Ruth Prawer Jhabvala (screenplay), Peter Cameron (novel)","Nicholas Blandullo, Sofía Viruboff, James Martin, Omar Metwally",28-year-old Kansas University doctoral student Omar Razaghi wins a grant to write a biography of Latin American writer Jules Gund. Omar must get through to three people who were close to ...,"English, Spanish, French",USA,1 win & 2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwOTc0ODk2Ml5BMl5BanBnXkFtZTcwNjE5MDgyMw@@._V1_SX300.jpg,Internet Movie Database,6.4/10,52,6.4,"2,425",tt0896923,17 Aug 2010,"$493,296",Screen Media Films,http://www.screenmediafilms.net/coyfd/,True,http://www.rottentomatoes.com/m/city_of_your_final_destination/
The Hills Have Eyes,2006,2000,R,10 Mar 2006,107 min,Horror,Alexandre Aja,"Wes Craven (based upon his film), Alexandre Aja (screenplay), Grégory Levasseur (screenplay)","Maxime Giffard, Michael Bailey Smith, Tom Bower, Ted Levine","A suburban American family is being stalked by a group of psychotic people who live in the desert, far away from civilization.",English,USA,2 wins & 7 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzk0MTg5MzEyOF5BMl5BanBnXkFtZTcwNDUyMzIzMQ@@._V1_SX300.jpg,Internet Movie Database,6.4/10,52,6.4,"137,439",tt0454841,04 Mar 2008,"$41,685,824",Fox Searchlight Pictures,http://www2.foxsearchlight.com/thehillshaveeyes/,True,http://www.rottentomatoes.com/m/hills_have_eyes/
Down in the Valley,2005,2000,R,09 Dec 2005,114 min,"Drama, Romance, Thriller",David Jacobson,David Jacobson,"Edward Norton, Evan Rachel Wood, David Morse, Rory Culkin","Set in the present-day San Fernando Valley, the project revolves around a delusional man who believes he's a cowboy and the relationship that he starts with a rebellious young woman.",English,USA,1 win.,https://images-na.ssl-images-amazon.com/images/M/MV5BNzAxNTI5MzI3NV5BMl5BanBnXkFtZTcwMTI0NDgzMQ@@._V1_SX300.jpg,Internet Movie Database,6.4/10,65,6.4,"16,909",tt0398027,26 Sep 2006,"$444,655",ThinkFilm,http://www.thinkfilmcompany.com/,True,http://www.rottentomatoes.com/m/down_in_the_valley/
Varsity Blues,1999,1990,R,15 Jan 1999,106 min,"Comedy, Drama, Romance",Brian Robbins,W. Peter Iliff,"James Van Der Beek, Jon Voight, Paul Walker, Ron Lester",A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.,English,USA,2 wins & 5 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BZGVlYjRmYTUtNTRiYS00ODNmLThlNDQtNzc3OWJmYTlkMzM0L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,6.4/10,50,6.4,"36,624",tt0139699,31 May 1999,N/A,Paramount Pictures,http://www.varsitybluesmovie.com,True,http://www.rottentomatoes.com/m/varsity_blues/
Baby Boy,2001,2000,R,27 Jun 2001,130 min,"Crime, Drama, Romance",John Singleton,John Singleton,"Tyrese Gibson, Taraji P. Henson, Omar Gooding, Tamara LaSeon Bass","This is the story of Jody, an unemployed young black man, who's been living with his mother for several years, even though he's got a child of his own. Romantically, he's having ...",English,USA,1 win & 14 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0OTM5MjAyM15BMl5BanBnXkFtZTcwMjIwMDAyMQ@@._V1_SX300.jpg,Internet Movie Database,6.4/10,55,6.4,"10,279",tt0255819,06 Nov 2001,"$27,823,989",Columbia Pictures,http://www.spe.sony.com/movies/babyboy,True,http://www.rottentomatoes.com/m/baby_boy/
Hamlet 2,2008,2000,R,27 Aug 2008,92 min,"Comedy, Music",Andrew Fleming,"Pam Brady, Andrew Fleming","Steve Coogan, Catherine Keener, Joseph Julian Soria, Skylar Astin","In this irreverent comedy, a failed actor-turned-worse-high-school-drama-teacher rallies his Tucson, AZ students as he conceives and stages politically incorrect musical sequel to Shakespeare's Hamlet.","English, Spanish",USA,3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDQyNjA5NzExMF5BMl5BanBnXkFtZTcwODIyMjAyNw@@._V1_SX300.jpg,Internet Movie Database,6.4/10,54,6.4,"15,466",tt1104733,21 Dec 2008,"$4,784,111",Focus Features,http://www.hamlet2.com,True,http://www.rottentomatoes.com/m/hamlet_2/
The Woman in Black,2012,2010,PG-13,03 Feb 2012,95 min,"Drama, Fantasy, Horror",James Watkins,"Susan Hill (novel), Jane Goldman (screenplay)","Emma Shorey, Molly Harmon, Ellisa Walker-Reid, Sophie Stuckey",A young solicitor travels to a remote village where he discovers the vengeful ghost of a scorned woman is terrorizing the locals.,English,"UK, Canada, Sweden",5 wins & 14 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEwMzIxOTg3N15BMl5BanBnXkFtZTcwMjI4ODUzNw@@._V1_SX300.jpg,Internet Movie Database,6.4/10,62,6.4,"150,566",tt1596365,22 May 2012,"$54,322,273",CBS Films,http://www.womaninblack.com,True,http://www.rottentomatoes.com/m/the_woman_in_black_2011/
The Faculty,1998,1990,R,25 Dec 1998,104 min,"Horror, Sci-Fi",Robert Rodriguez,"David Wechter (story), Bruce Kimmel (story), Kevin Williamson (screenplay)","Jordana Brewster, Clea DuVall, Laura Harris, Josh Hartnett",Students suspect that their teachers are aliens after bizarre occurrences.,English,USA,8 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BOTM5MTk3NDA0MF5BMl5BanBnXkFtZTgwODQ4OTI1MDE@._V1_SX300.jpg,Internet Movie Database,6.4/10,61,6.4,"95,827",tt0133751,15 Jun 1999,N/A,Miramax,http://www.miramax.com/movie/the-faculty/,True,http://www.rottentomatoes.com/m/faculty/
Because of Winn-Dixie,2005,2000,PG,18 Feb 2005,106 min,"Comedy, Drama, Family",Wayne Wang,"Kate DiCamillo (novel), Joan Singleton (screenplay)","AnnaSophia Robb, Jeff Daniels, Cicely Tyson, Dave Matthews",A mischievous dog befriends a lonely young girl in a new town and helps her make new friends.,English,USA,2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3NDYzNDE0MjBeQTJeQWpwZ15BbWU3MDc3NjA3MzM@._V1_SX300.jpg,Internet Movie Database,6.4/10,54,6.4,"8,853",tt0317132,09 Aug 2005,"$32,500,000",20th Century Fox,http://www.becauseofwinndixiemovie.com/,True,http://www.rottentomatoes.com/m/because_of_winndixie/
New York Stories,1989,1980,PG,10 Mar 1989,124 min,"Comedy, Drama, Romance","Woody Allen, Francis Ford Coppola, Martin Scorsese","Richard Price, Woody Allen, Francis Ford Coppola, Sofia Coppola","Woody Allen, Marvin Chatinover, Mae Questel, Mia Farrow","A middle-aged artist obsessed with his pretty young assistant, a precocious 12 year old living in a hotel, and a neurotic lawyer with a possessive mother make up three Gotham tales.",English,USA,1 win.,https://images-na.ssl-images-amazon.com/images/M/MV5BMDk1Mzk0YTctZWU5OS00ODNiLTkwNWQtZjUzZmZmY2VhZmViXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Internet Movie Database,6.4/10,N/A,6.4,"14,437",tt0097965,08 Apr 2003,"$10,763,469",Touchstone Pictures,N/A,True,http://www.rottentomatoes.com/m/new_york_stories/
Centurion,2010,2010,R,30 Jul 2010,97 min,"Action, Adventure, Drama",Neil Marshall,Neil Marshall,"Michael Fassbender, Andreas Wisniewski, Dave Legeno, Axelle Carolyn",A splinter group of Roman soldiers fight for their lives behind enemy lines after their legion is decimated in a devastating guerrilla attack.,"English, Scottish Gaelic","UK, France, USA",1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4NTI1MTEzM15BMl5BanBnXkFtZTcwNDc3NDc1Mw@@._V1_SX300.jpg,Internet Movie Database,6.4/10,62,6.4,"68,016",tt1020558,02 Nov 2010,"$122,288",Magnolia Pictures,http://www.centurionmovie.com/,True,http://www.rottentomatoes.com/m/centurion/
The Shallows,2016,2010,PG-13,24 Jun 2016,86 min,"Drama, Horror, Thriller",Jaume Collet-Serra,Anthony Jaswinski,"Blake Lively, Óscar Jaenada, Angelo Josue Lozano Corzo, Brett Cullen","A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.","English, Spanish",USA,11 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MTA4MzU4Ml5BMl5BanBnXkFtZTgwNjUxNjczODE@._V1_SX300.jpg,Internet Movie Database,6.4/10,59,6.4,"80,384",tt4052882,27 Sep 2016,"$55,121,623",Ombra Films,http://www.theshallows-movie.com/site/,True,http://www.rottentomatoes.com/m/the_shallows/
Dirty Work,1998,1990,PG-13,12 Jun 1998,82 min,Comedy,Bob Saget,"Frank Sebastiano, Norm MacDonald, Fred Wolf","Norm MacDonald, Jack Warden, Artie Lange, Traylor Howard",A loser finds success in the revenge-for-hire business.,English,"Canada, USA",N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0NzkzNDI3Ml5BMl5BanBnXkFtZTcwNjA0NzQzNA@@._V1_SX300.jpg,Internet Movie Database,6.4/10,N/A,6.4,"20,688",tt0120654,15 Aug 2001,N/A,MGM,N/A,True,http://www.rottentomatoes.com/m/1083480-dirty_work/
Womb,2010,2010,UNRATED,07 Apr 2011,111 min,"Drama, Romance, Sci-Fi",Benedek Fliegauf,Benedek Fliegauf,"Eva Green, Matt Smith, Lesley Manville, Peter Wight","A woman's consuming love forces her to bear the clone of her dead beloved. From his infancy to manhood, she faces the unavoidable complexities of her controversial decision.",English,"Germany, Hungary, France",1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5ODcwOTQ5Nl5BMl5BanBnXkFtZTcwNzk5ODk0Nw@@._V1_SX300.jpg,Internet Movie Database,6.4/10,48,6.4,"10,986",tt1216520,26 Mar 2013,N/A,Olive Films,http://www.olivefilms.com/films/womb/,True,http://www.rottentomatoes.com/m/womb/
Solitary Man,2009,2000,R,25 Jun 2010,90 min,"Comedy, Drama, Romance","Brian Koppelman, David Levien",Brian Koppelman,"Michael Douglas, Susan Sarandon, Danny DeVito, Mary-Louise Parker",A car magnate watches his personal and professional life hit the skids because of his business and romantic indiscretions.,"English, Spanish",USA,2 wins & 3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2NDEwNjQ4NV5BMl5BanBnXkFtZTcwODYwMTgzMw@@._V1_SX300.jpg,Internet Movie Database,6.4/10,69,6.4,"13,888",tt1294213,07 Sep 2010,"$4,360,548",Anchor Bay Films,http://www.solitarymanmovie.com/,True,http://www.rottentomatoes.com/m/solitary_man/
Top Five,2014,2010,R,12 Dec 2014,102 min,"Comedy, Romance",Chris Rock,Chris Rock,"Chris Rock, Rosario Dawson, J.B. Smoove, Gabrielle Union",A comedian tries to make it as a serious actor when his reality-TV star fiancée talks him into broadcasting their wedding on her TV show.,English,USA,7 wins & 19 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzNTg4ODM3OV5BMl5BanBnXkFtZTgwMTk0MjkxMzE@._V1_SX300.jpg,Internet Movie Database,6.4/10,81,6.4,"23,126",tt2784678,17 Mar 2015,"$17,002,433",Paramount Pictures,http://www.topfivemovie.com/,True,http://www.rottentomatoes.com/m/top_five/
Project Almanac,2015,2010,PG-13,30 Jan 2015,106 min,"Sci-Fi, Thriller",Dean Israelite,"Jason Pagan, Andrew Deutschman","Jonny Weston, Sofia Black-D'Elia, Sam Lerner, Allen Evangelista","A group of teens discover secret plans of a time machine, and construct one. However, things start to get out of control.",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMjQ2NjI4OV5BMl5BanBnXkFtZTgwODc2NjUwNDE@._V1_SX300.jpg,Internet Movie Database,6.4/10,47,6.4,"63,697",tt2436386,09 Jun 2015,N/A,Paramount Pictures,http://www.projectalmanac.com/,True,http://www.rottentomatoes.com/m/project_almanac/
The Blair Witch Project,1999,1990,R,30 Jul 1999,81 min,"Horror, Mystery","Daniel Myrick, Eduardo Sánchez","Daniel Myrick, Eduardo Sánchez","Heather Donahue, Joshua Leonard, Michael C. Williams, Bob Griffin","Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.",English,USA,17 wins & 23 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BYWEyYWIwNDItYmZkNC00ODg5LWIxYjMtNDA3ZmI5NzgwOWZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,6.4/10,81,6.4,"200,101",tt0185937,26 Oct 1999,N/A,Artisan Pictures,http://www.blairwitch.com,True,http://www.rottentomatoes.com/m/blair_witch_project/
The World Is Mine,2015,2010,N/A,05 Jun 2015,104 min,Drama,Nicolae Constantin Tanase,Raluca Manescu,"Iulia Ciochina, Hritcu Florin, Ana Maria Guran, Oana Rusu","'The World Is Mine' is about a teenager's drama in the 2000s, focusing on the story of Larisa (Ana Maria Guran), a regular teenager from Constanta, Romania. Larisa wants a lot from life: ...",Romanian,Romania,4 wins & 8 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BODM0MGVmMmQtODVlMS00NmVjLTg4NjktOGI0OWQxYmZiM2Q0XkEyXkFqcGdeQXVyNDgxMDU4NTU@._V1_SX300.jpg,Internet Movie Database,6.4/10,N/A,6.4,510,tt4707756,N/A,N/A,N/A,N/A,True,http://www.rottentomatoes.com/m/the_world_is_mine/
Good Dick,2008,2000,R,03 Oct 2008,86 min,"Comedy, Drama, Romance",Marianna Palka,Marianna Palka,"Marianna Palka, Jason Ritter, Eric Edelstein, Mark Webber",A look at the relationship between a lonely introverted girl and a young video store clerk vying for her attention.,"English, Polish, German",USA,1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzQyMjAxNjU1NF5BMl5BanBnXkFtZTcwNjY5ODg5MQ@@._V1_SX300.jpg,Internet Movie Database,6.4/10,54,6.4,"6,887",tt0944101,01 Sep 2009,N/A,42 West,http://www.gooddickthefilm.com/,True,http://www.rottentomatoes.com/m/good_dick/
